Chris Paul,78,36,0.43,5.2,12.1,0.6,2.3,5.1,6,5.1,0.8,4.3,7.8,2.2,0.1,2.3,2.8,16.1,35,43,22.1,0.178,1
Deron Michael Williams,47,28.9,0.421,4.2,10.1,1.1,2.7,1.2,1.7,2.4,0.4,2,4.5,0.8,0.2,1.8,2.9,10.8,39,41,12.4,0.059,1
Danny Granger Jr.,17,22.6,0.462,2.8,6.1,0.4,1.2,1.5,1.9,4.9,1.7,3.2,1.2,0.7,0.8,1,2.7,7.5,39,39,14.7,0.139,1
David Lee,14,16.9,0.596,2,3.4,0,0,1.1,1.8,4.5,1.6,2.9,0.6,0.4,0.3,0.8,1.9,5.1,21,46,15.4,0.116,1
Andrew Bynum,0,7.3,0.402,0.7,1.8,0,0,0.2,0.6,1.7,0.7,1,0.2,0.1,0.5,0.4,1.2,1.6,29,17,7.4,0.007,1
Brandon Roy,55,35.4,0.456,6.1,13.4,1,2.6,3.5,4.2,4.4,1,3.4,4,1.2,0.2,2,2.4,16.8,23,34,18,0.114,1
LaMarcus Aldridge,22,22.1,0.503,3.8,7.6,0,0,1.3,1.8,5,2.3,2.7,0.4,0.3,1.2,0.7,3,9,24,39,17.1,0.118,1
Paul Millsap,1,18,0.525,2.5,4.9,0,0,1.7,2.5,5.2,2.2,2.9,0.8,0.8,0.9,1.1,2.9,6.8,51,31,17.6,0.153,1
Rajon Rondo,25,23.5,0.418,2.4,5.8,0.1,0.4,1.5,2.4,3.7,0.9,2.8,3.8,1.6,0.1,1.8,2.3,6.4,21,57,13.1,0.064,1
Kyle Lowry,0,17.5,0.368,1.4,3.8,0.3,0.8,2.5,2.8,3.1,1.2,1.9,3.2,1.4,0.1,1.2,2,5.6,2,8,18.3,0.148,1
Kevin Durant,80,34.6,0.43,7.3,17.1,0.7,2.6,4.9,5.6,4.4,0.9,3.5,2.4,1,0.9,2.9,1.5,20.3,19,61,15.8,0.04,1
Al Horford,77,31.4,0.499,4.1,8.2,0,0.1,1.9,2.6,9.7,3.1,6.6,1.5,0.7,0.9,1.7,3.3,10.1,37,44,14.7,0.103,1
Joakim Noah,31,20.7,0.482,2.4,5,0,0,1.8,2.6,5.6,2.4,3.3,1.1,0.9,0.9,1.2,2.3,6.6,31,43,15.5,0.12,1
Marc Gasol,75,30.7,0.53,4.3,8.1,0,0,3.4,4.6,7.4,2.5,4.9,1.7,0.8,1.1,2,3.2,11.9,24,58,16.7,0.121,1
Derrick Rose,80,37,0.475,7.1,14.9,0.2,0.9,2.4,3.1,3.9,1.2,2.7,6.3,0.8,0.2,2.5,1.5,16.8,40,41,16,0.078,1
Russell Westbrook,65,32.5,0.398,5.3,13.4,0.4,1.6,4.3,5.2,4.9,2.2,2.7,5.3,1.3,0.2,3.3,2.3,15.3,23,59,15.2,0.035,1
Brook Lopez,75,30.5,0.531,5.5,10.3,0,0,2.1,2.6,8.1,2.7,5.4,1,0.5,1.8,1.8,3.1,13,34,48,17.9,0.112,1
Kevin Love,37,25.3,0.459,3.9,8.5,0,0.2,3.3,4.1,9.1,3.4,5.7,1,0.4,0.6,1.5,2.5,11.1,24,57,18.3,0.124,1
Roy Hibbert,42,14.4,0.471,2.8,6,0,0,1.4,2.1,3.5,1.6,1.8,0.7,0.3,1.1,0.8,3.1,7.1,29,41,16.1,0.102,1
DeAndre Jordan,13,14.5,0.633,1.8,2.8,0,0,0.8,2.1,4.5,1.4,3.1,0.2,0.2,1.1,0.8,1.8,4.3,11,42,14.1,0.079,1
Stephen Curry,77,36.2,0.462,6.6,14.3,2.1,4.8,2.2,2.5,4.5,0.6,3.9,5.9,1.9,0.2,3.1,3.2,17.5,25,55,16.3,0.077,1
James Harden,0,22.9,0.403,3.1,7.6,1.2,3.3,2.6,3.2,3.2,0.6,2.6,1.8,1.1,0.3,1.4,2.6,9.9,47,29,14,0.124,1
DeMar DeRozan,65,21.6,0.498,3.3,6.6,0.1,0.2,1.9,2.5,2.9,0.9,2,0.7,0.6,0.2,0.8,2.3,8.6,36,41,12.5,0.066,1
Jrue Holiday,51,24.2,0.442,3.2,7.1,0.8,2.2,0.9,1.2,2.6,0.8,1.8,3.8,1.1,0.2,2.1,2.1,8,24,49,12.3,0.032,1
Jeff Teague,3,10.1,0.396,1.3,3.2,0.1,0.5,0.6,0.7,0.9,0.1,0.9,1.7,0.5,0.2,0.7,1.2,3.2,50,21,11,0.042,1
Blake Griffin,82,38,0.506,8.5,16.8,0.1,0.3,5.4,8.5,12.4,3.3,8.8,3.8,0.8,0.5,2.7,3.1,22.5,32,50,21.9,0.152,1
John Wall,64,37.8,0.409,5.8,14.1,0.5,1.7,4.4,5.7,4.6,0.5,4.1,8.3,1.8,0.5,3.8,2.5,16.4,19,50,15.8,0.041,1
DeMarcus Cousins,62,28.5,0.43,5.3,12.4,0,0.2,3.4,5,8.6,2.7,6,2.5,1,0.8,3.3,4.1,14.1,23,58,14.6,0.022,1
Paul George,19,20.7,0.453,2.9,6.5,0.7,2.3,1.3,1.7,3.7,0.6,3.1,1.1,1,0.4,1.1,2.1,7.8,29,32,13,0.091,1
Gordon Hayward,17,16.9,0.485,2,4.1,0.5,1,1,1.3,1.9,0.6,1.4,1.1,0.4,0.3,1,1.5,5.4,33,39,10.7,0.048,1
